100%Bran;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;vitD
100%NaturalBran;hfcp;soy;yellow6;vitA;vitB;vitC;vitD;minerals;bran
All-Bran;gmo;bha;bht;soy;vitA;vitB;vitC;vitD;minerals
All-BranwithExtraFiber;soy;yellow6;bht;gmo;vitA;vitB;vitC;vitD;minerals
AlmondDelight;hfcp;soy;bht;gmo;vitA;vitB;vitC;vitD;minerals
AppleCinnamonCheerios;gmo;bha;bht;soy;vitA;vitB;vitC;vitD;minerals
AppleJacks;yellow5;hfcp;gmo;bha;bht;soy;yellow6;vitA;vitB
Basic4;gmo;bha;bht;soy;vitA;vitB;vitC;vitD;minerals
BranChex;hfcp;gmo;bht;soy;yellow6;vitA;vitB;vitC;minerals
BranFlakes;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;vitD
Cap'n'Crunch;yellow5;hfcp;red2;red3;red40;yellow6;gmo;bht;bha
Cheerios;gmo;bha;bht;soy;yellow6;vitA;vitB;vitC;vitD
CinnamonToastCrunch;yellow5;hfcp;red2;red3;red40;yellow6;gmo;bht;soy
Clusters;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;vitD
CocoaPuffs;hfcp;red2;red3;red40;yellow6;gmo;bht;bha;soy
CornChex;hfcp;gmo;bha;bht;vitA;vitB;vitC;vitD;minerals
CornFlakes;hfcp;soy;yellow6;bht;gmo;vitA;vitB;vitC;vitD
CornPops;yellow5;hfcp;red2;red3;red40;yellow6;gmo;bht;bha
CountChocula;hfcp;red2;red3;red40;yellow6;gmo;bht;bha;soy
Cracklin'OatBran;hfcp;gmo;bha;bht;vitA;vitB;vitC;vitD;minerals
CreamofWheat(Quick);vitA;vitB;vitC;vitD;minerals;wheat;rice;soy;gmo
Crispix;gmo;bha;bht;soy;vitA;vitB;vitC;vitD;minerals
CrispyWheat&Raisins;hfcp;gmo;bha;bht;yellow6;vitA;vitB;vitC;vitD
DoubleChex;hfcp;yellow6;bht;gmo;vitA;vitB;vitC;vitD;minerals
FrootLoops;yellow5;hfcp;red2;red3;red40;yellow6;gmo;bht;bha
FrostedFlakes;hfcp;soy;yellow6;bht;gmo;vitA;vitB;vitC;vitD
FrostedMini-Wheats;gmo;bha;bht;soy;vitA;vitB;vitC;vitD;minerals
FruitfulBran;hfcp;vitA;vitB;vitC;vitD;minerals;vitE;bran;fruit
FruityPebbles;yellow5;hfcp;red2;red3;red40;yellow6;gmo;bht;bha
GoldenCrisp;yellow5;hfcp;red2;gmo;bha;bht;vitA;vitB;vitC
GoldenGrahams;yellow5;hfcp;red2;gmo;bha;bht;soy;vitA;vitB
GrapeNutsFlakes;hfcp;yellow6;vitA;vitB;vitC;vitD;vitE;minerals;grapes
Grape-Nuts;vitA;vitB;vitC;vitD;grains;grapes;minerals;vitE;hfcp
GreatGrainsPecan;hfcp;vitA;vitB;vitC;vitD;minerals;vitE;pecans;grains
HoneyGrahamOhs;yellow5;hfcp;red2;gmo;bha;bht;soy;vitA;vitB
HoneyNutCheerios;soy;yellow6;vitA;vitB;vitC;vitD;minerals;vitE;honey
Honey-comb;yellow5;hfcp;red2;gmo;bha;bht;soy;vitA;vitB
JustRightCrunchyNuggets;hfcp;soy;yellow6;vitA;vitB;vitC;vitD;minerals;nuggets
JustRightFruit&Nut;hfcp;soy;vitA;vitB;vitC;vitD;minerals;vitE;gmo
Kix;yellow5;hfcp;red2;gmo;bha;bht;soy;yellow6;vitA
Life;soy;yellow6;bht;vitA;vitB;vitC;vitD;minerals;vitE
LuckyCharms;yellow5;hfcp;red3;red40;yellow6;gmo;bht;bha;soy
Maypo;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;vitD
MueslixCrispyBlend;hfcp;gmo;bha;bht;yellow6;vitA;vitB;vitC;vitD
Multi-GrainCheerios;soy;bht;vitA;vitB;vitC;vitD;minerals;vitE;grains
Nut&HoneyCrunch;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;vitD
Nutri-GrainAlmond-Raisin;hfcp;bht;soy;gmo;vitA;vitB;vitC;vitD;minerals
Nutri-grainWheat;hfcp;yellow6;gmo;vitA;vitB;vitC;vitD;vitE;minerals
OatmealRaisinCrisp;hfcp;soy;vitA;vitB;vitC;vitD;minerals;vitE;raisin
PostNatRaisinBran;hfcp;vitA;vitB;vitC;vitD;minerals;vitE;raisin;bran
Product19;hfcp;yellow6;vitA;vitB;vitC;vitD;minerals;vitE;19
PuffedRice;hfcp;yellow6;vitA;vitB;vitC;vitD;minerals;rice;vitE
PuffedWheat;hfcp;soy;vitA;vitB;vitC;vitD;minerals;wheat;puffs
QuakerOatSquares;hfcp;vitA;vitB;vitC;vitD;minerals;vitE;gmo;oats
QuakerOatmeal;hfcp;soy;yellow6;vitA;vitB;vitC;vitD;minerals;vitE
RaisinBran;hfcp;gmo;bha;bht;vitA;vitB;vitC;vitD;minerals
RaisinNutBran;hfcp;gmo;bha;bht;soy;yellow6;vitA;vitB;vitC
RaisinSquares;hfcp;gmo;bha;bht;vitA;vitB;vitC;vitD;vitE
RiceChex;hfcp;vitA;vitB;vitC;vitD;minerals;bha;bht;vitE
RiceKrispies;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;vitD
ShreddedWheat;gmo;bha;bht;vitA;vitB;vitC;vitD;minerals;vitE
ShreddedWheat'n'Bran;gmo;bha;bht;soy;vitA;vitB;vitC;vitD;minerals
ShreddedWheatspoonsize;gmo;bha;bht;vitA;vitB;vitC;vitD;minerals;vitE
Smacks;hfcp;yellow5;red3;red40;yellow6;gmo;bht;bha;vitA
SpecialK;gmo;bha;bht;yellow6;vitA;vitB;vitC;vitD;minerals
StrawberryFruitWheats;hfcp;yellow5;red3;red40;yellow6;gmo;bht;bha;vitA
TotalCornFlakes;soy;yellow6;vitA;vitB;vitC;vitD;minerals;corn;sugar
TotalRaisinBran;yellow6;vitA;vitB;vitC;vitD;minerals;vitE;soy;raisins
TotalWholeGrain;soy;yellow6;vitA;vitB;vitC;vitD;minerals;vitE;bha
Triples;hfcp;gmo;bha;bht;soy;vitA;vitB;vitC;minerals
Trix;hfcp;yellow5;red3;red40;yellow6;gmo;bht;bha;soy
WheatChex;hfcp;soy;yellow6;vitA;vitB;vitC;vitD;minerals;vitE
Wheaties;hfcp;gmo;bha;bht;yellow6;vitA;vitB;vitC;minerals
WheatiesHoneyGold;hfcp;soy;yellow6;vitA;vitB;vitC;vitD;minerals;vitE
